coffee_id,Country_of_Origin,Farm_Name,Lot_Number,Mill,ICO_Number,Company,Altitude,Region,Producer,Number_of_Bags,Bag_Weight,In_Country_Partner,Harvest_Year,Grading_Date,Owner,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Defects,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers,Expiration,Certification_Body,Certification_Address,Certification_Contact,parsed_expiration,parsed_grading_date
1121,Mexico,el tabaco,,"zaragoza itundujia, oaxaca",1401045726,cafeorganico.mx,1300,zaragoza itundujia,ALBERTA TEODORO ANALCO,13,1 kg,AMECAFE,2012,September 14 2012,israel eduardo paz garcia,Typica,,Washed / Wet,7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,,80.08,0.15,None,0,0,0,September 14 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-14,2012-09-14
1282,Mexico,el limón,,"zaragoza itundujia, oaxaca",0,cafeorganico.mx,1500,zaragoza itundujia,GEREMIAS RIAÑO LOPEZ,14,1 kg,AMECAFE,2012,September 13 2012,israel eduardo paz garcia,Typica,,Washed / Wet,7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,6.42,,74.92,0.17,None,0,6,0,September 13 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-13,2012-09-13
1190,Mexico,la tejeria,,la tejeria,0,cafeorganico.mx,1550,zaragoza itundujia,HILARIO GARCÍA SANDOVAL,10,1 kg,AMECAFE,2012,September 13 2012,israel eduardo paz garcia,Typica,,Washed / Wet,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,7.17,,79.17,0.14,None,0,8,0,September 13 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-13,2012-09-13
1206,Mexico,la pandora,,"zaragoza itundujia, oaxaca",0,cafeorganico.mx,1400,zaragoza itundujia,LUISA ZUÑIGA GARCÍA,14,1 kg,AMECAFE,2012,September 17 2012,israel eduardo paz garcia,Typica,,Washed / Wet,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,,78.92,0.16,None,0,0,0,September 17 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-17,2012-09-17
1269,Mexico,agua de la mariposa,,"zaragoza itundujia, oaxaca",1405792248,cafeorganico.mx,1400,zaragoza itundujia,ISIDORA HERAS HERNANDEZ,11,1 kg,AMECAFE,2012,September 17 2012,israel eduardo paz garcia,Typica,,Washed / Wet,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,,76.17,0.16,None,2,4,0,September 17 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-17,2012-09-17
1154,Mexico,peña negra,,"zaragoza itundujia, oaxaca",0,cafeorganico.mx,1450,zaragoza itundujia,MINERVA ZUÑIGA GARCIA,12,1 kg,AMECAFE,2012,September 14 2012,israel eduardo paz garcia,Bourbon,,Washed / Wet,7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,,79.75,0.14,None,0,0,0,September 14 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-14,2012-09-14
698,Mexico,cañada fria,,huatusco,1104558673,,1350,veracruz,JOSE DANIEL COBILT CASTRO,26,1 kg,AMECAFE,2012,July 11 2012,jose daniel cobilt castro,Pacamara,,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,,82.42,0.14,Green,0,6,0,July 11 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-07-11,2012-07-11
332,Mexico,finca apoxtla,,xicotepec de juarez,1207033381,,1100,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,48,1 kg,AMECAFE,2012,July 2 2012,juan luis ortega carballo,Typica,,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,,83.67,0.12,Green,4,11,0,July 2 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-07-02,2012-07-02
1196,Mexico,las palmas,,"palo blanco, tlacuilotepec, puebla",1207093598,productores e industrializadores de café orgánico la fe s.c. de r.l.,1100,tlacuilotepec,JUANA RODRIGUEZ GUTIERREZ,10,1 kg,AMECAFE,2012,September 12 2012,juana rodriguez gutierrez,Mundo Novo,,Washed / Wet,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,,79.08,0.11,Green,0,45,0,September 12 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-12,2012-09-12
1277,Mexico,la joya,,"palo blanco, tlacuilotepec, puebla",1207093598,productores e industrializadores de café orgánico la fe s.c. de r.l.,1100,tlacuilotepec,JUANA RODRIGUEZ GUTIERREZ,10,1 kg,AMECAFE,2012,September 12 2012,juana rodriguez gutierrez,Pacamara,,Washed / Wet,7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,,75.5,0.11,Green,4,20,0,September 12 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-12,2012-09-12
